opponent,turn,n,mean,std,num_outliers
fair,0,50,0.5391218831734961,0.061322455076681305,0
fair,1,29,0.6054811652586959,0.05183616870959883,0
fair,2,12,0.5218831734960767,0.05158735435892788,0
fair,3,8,0.6358761987794246,0.03480766110197444,0
generous,0,50,0.5414570183086312,0.0603360719128439,0
generous,1,29,0.5608766497309323,0.050627649797511984,0
generous,2,9,0.2213711130485324,0.043925600638221506,0
generous,3,7,0.5792053804957031,0.03829367947616695,0
greedy,0,50,0.5315138622493462,0.05292060887320264,0
greedy,1,30,0.5347741935483871,0.049178136136716025,0
greedy,2,20,0.5237070619006103,0.05219635944283129,0
greedy,3,13,0.5722233250620348,0.04814888337468984,0
